,cohort,treatment2,user_count,has_ride_sum,has_ride_avg,discount_all_avg,discount_avg,gmv_avg,nmv_avg,finished_order_avg,control_gmv_avg,control_has_ride_avg,control_discount_all_avg,gmv_uplift,gmv_uplift_ratio,activation_uplift,activation_uplift_ratio,discount_all_sum p-val,gmv_sum p-val,nmv_sum p-val,finished_order_count p-val,has_ride p-val
0,high_frequency,None_control,4712,689,0.14622241086587437,0.0009595138291662308,0.0,0.6651261685934263,0.6641666547642601,0.2778013582342954,0.6651261685934263,0.14622241086587437,0.0009595138291662308,,,,,1.0,1.0,1.0,1.0,1.0
1,high_frequency,"ZA, Durban, 2021W4, unlockable lock test, -10% x 10 (5 ZAR)_10",4655,676,0.1452201933404941,0.03457045970199622,0.0,0.7132167117351942,0.6786462520331974,0.279484425349087,0.6651261685934263,0.14622241086587437,0.0009595138291662308,0.04809054314176786,1.3910877540049298,-0.0010022175253802668,-0.028990575596031055,0.0,0.3548,0.7747,0.9298,0.8907
2,high_frequency,"ZA, Durban, 2021W4, unlockable lock test, -20% x 10 (10 ZAR)_20",4741,724,0.15271039865007383,0.07535351691133536,0.0,0.7568518330201812,0.681498316108846,0.3098502425648597,0.6651261685934263,0.14622241086587437,0.0009595138291662308,0.0917256644267549,1.217271179720567,0.006487987784199456,0.08610066324885061,0.0,0.0925,0.7344,0.1091,0.3764
3,high_frequency,"ZA, Durban, 2021W4, unlockable lock test, -30% x 10 (15 ZAR)_30",4723,720,0.15244547956807114,0.11517515888420408,0.0,0.8265384442962057,0.7113632854120009,0.3315689180605547,0.6651261685934263,0.14622241086587437,0.0009595138291662308,0.16141227570277938,1.4014504279092128,0.006223068702196771,0.054031344627476316,0.0,0.0032,0.346,0.0093,0.3965
4,high_frequency,"ZA, Durban, 2021W4, unlockable rfm test, -10% x 10 (5 ZAR)_10",4607,662,0.1436943781202518,0.061711943709835126,0.0,0.6712641369507442,0.6095521932409095,0.27501627957456043,0.6651261685934263,0.14622241086587437,0.0009595138291662308,0.006137968357317836,0.09946159508729942,-0.002528032745622577,-0.0409650481519298,0.0,0.9037,0.2609,0.8845,0.7289
5,high_frequency,"ZA, Durban, 2021W4, unlockable rfm test, -20% x 10 (10 ZAR)_20",4676,760,0.16253207869974337,0.11452976575867806,0.0,0.8526739138867759,0.7381441481280976,0.3235671514114628,0.6651261685934263,0.14622241086587437,0.0009595138291662308,0.1875477452933496,1.6375458733454966,0.016309667833869,0.14240549367956076,0.0,0.0013,0.1748,0.021,0.0288
6,high_frequency,"ZA, Durban, 2021W4, unlockable rfm test, -30% x 10 (15 ZAR)_30",4670,831,0.17794432548179873,0.16186507206267722,0.0,0.9226800554061182,0.7608149833434409,0.36873661670235547,0.6651261685934263,0.14622241086587437,0.0009595138291662308,0.25755388681269187,1.5911640697442258,0.03172191461592436,0.19597751517165501,0.0,0.0,0.0614,0.0,0.0
7,high_recency,None_control,4779,687,0.14375392341494037,0.001391703356134865,0.0,0.646741691908175,0.6453499885520401,0.24231010671688638,0.646741691908175,0.14375392341494037,0.001391703356134865,,,,,1.0,1.0,1.0,1.0,1.0
8,high_recency,"ZA, Durban, 2021W4, unlockable lock test, -10% x 10 (5 ZAR)_10",4772,668,0.1399832355406538,0.02710611270336951,0.0,0.6388778752386856,0.6117717625353162,0.2527242246437552,0.646741691908175,0.14375392341494037,0.001391703356134865,-0.007863816669489432,-0.2901122988584009,-0.0037706878742865546,-0.13910839652850066,0.0,0.8712,0.477,0.5369,0.5975
9,high_recency,"ZA, Durban, 2021W4, unlockable lock test, -20% x 10 (10 ZAR)_20",4903,723,0.14746073832347542,0.06141232564230584,0.0,0.7219238845462269,0.6605115589039213,0.2777891087089537,0.646741691908175,0.14375392341494037,0.001391703356134865,0.07518219263805193,1.2242199241231841,0.0037068149085350555,0.06035946155378128,0.0,0.1444,0.7572,0.0352,0.6052
10,high_recency,"ZA, Durban, 2021W4, unlockable lock test, -30% x 10 (15 ZAR)_30",4826,751,0.15561541649399088,0.12039114260970897,0.0,0.8065459554483041,0.6861548128385959,0.3269788644840448,0.646741691908175,0.14375392341494037,0.001391703356134865,0.1598042635401291,1.3273755865760979,0.011861493079050517,0.09852463247652526,0.0,0.0025,0.3962,0.0,0.1033
11,high_recency,"ZA, Durban, 2021W4, unlockable rfm test, -10% x 10 (5 ZAR)_10",4672,670,0.14340753424657535,0.0578103776530137,0.0,0.6814783447181133,0.623667967065099,0.2694777397260274,0.646741691908175,0.14375392341494037,0.001391703356134865,0.03473665280993832,0.600872269308337,-0.0003463891683650189,-0.005991816390546643,0.0,0.4872,0.6525,0.1116,0.9617
12,high_recency,"ZA, Durban, 2021W4, unlockable rfm test, -20% x 10 (10 ZAR)_20",4784,748,0.15635451505016723,0.10074192888180404,0.0,0.7566606086582212,0.6559186797764168,0.28846153846153844,0.646741691908175,0.14375392341494037,0.001391703356134865,0.10991891675004617,1.091094025795447,0.012600591635226865,0.12507792708645246,0.0,0.0324,0.828,0.0083,0.0845
13,high_recency,"ZA, Durban, 2021W4, unlockable rfm test, -30% x 10 (15 ZAR)_30",4768,771,0.1617030201342282,0.14251465226610321,0.0,0.7680653795238019,0.6255507272576983,0.2984479865771812,0.646741691908175,0.14375392341494037,0.001391703356134865,0.12132368761562695,0.8513067652095975,0.01794909671928782,0.1259456233719273,0.0,0.0172,0.6717,0.001,0.0148
14,med_activity,None_control,2158,249,0.11538461538461539,0.0,0.0,0.45149115645184856,0.45149115645184856,0.17191844300278036,0.45149115645184856,0.11538461538461539,0.0,,,,,,1.0,1.0,1.0,1.0
15,med_activity,"ZA, Durban, 2021W4, unlockable lock test, -10% x 10 (5 ZAR)_10",2165,318,0.1468822170900693,0.020499477303941246,0.0,0.684425901762889,0.6639264244589472,0.23926096997690532,0.45149115645184856,0.11538461538461539,0.0,0.23293474531104041,11.362960228564276,0.031497601705453904,1.536507552775414,0.0,0.002,0.0043,0.0008,0.0022
16,med_activity,"ZA, Durban, 2021W4, unlockable lock test, -20% x 10 (10 ZAR)_20",2144,303,0.14132462686567165,0.0472672693079439,0.0,0.6084132740067245,0.561146004698781,0.23973880597014927,0.45149115645184856,0.11538461538461539,0.0,0.15692211755487595,3.319889637214627,0.025940011481056263,0.5487943742224325,0.0,0.0107,0.0576,0.0011,0.011
17,med_activity,"ZA, Durban, 2021W4, unlockable lock test, -30% x 10 (15 ZAR)_30",2126,320,0.15051740357478832,0.06101923938837771,0.0,0.6952497962693552,0.6342305568809778,0.2596425211665099,0.45149115645184856,0.11538461538461539,0.0,0.24375863981750667,3.994783321798259,0.03513278819017293,0.5757657509717279,0.0,0.0001,0.002,0.0,0.0007
18,med_activity,"ZA, Durban, 2021W4, unlockable rfm test, -10% x 10 (5 ZAR)_10",2259,307,0.13590084108012396,0.04882075439344845,0.0,0.5913580433588849,0.5425372889654366,0.21558211598052235,0.45149115645184856,0.11538461538461539,0.0,0.1398668869070363,2.8649063015258505,0.020516225695508566,0.4202357368378102,0.0,0.0156,0.1033,0.02,0.0396
19,med_activity,"ZA, Durban, 2021W4, unlockable rfm test, -20% x 10 (10 ZAR)_20",2178,290,0.13314967860422405,0.0,0.0,0.5336925867988251,0.5336925867988251,0.19742883379247014,0.45149115645184856,0.11538461538461539,0.0,0.08220143034697658,inf,0.017765063219608662,inf,,0.1616,0.1616,0.1566,0.0762
20,med_activity,"ZA, Durban, 2021W4, unlockable rfm test, -30% x 10 (15 ZAR)_30",2274,330,0.14511873350923482,0.12051839094311158,0.0,0.6528240987409089,0.5323057077977976,0.2423043095866315,0.45149115645184856,0.11538461538461539,0.0,0.2013329422890603,1.6705578353107593,0.02973411812461943,0.2467185123526488,0.0,0.0022,0.1686,0.0004,0.0032
